ANIO,MES,SEMANA,ADUA_DESC_CODE,PAIS_DESC_CODE,VARIEDAD_CODE,ES_ORGANICO,FOB_DOLPOL_KG,PESO_NETO
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.40094017094017,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,0,3,36,1,6.20993080993081,12285
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,29,5,3,36,1,9.397777777777778,11700
2022,7,29,5,3,36,1,9.397777777777778,11700
2022,7,29,0,3,36,1,6.5,11250
2022,7,29,0,3,11,1,6.0,12285
2022,7,29,0,3,40,1,5.0,11250
2022,7,29,0,3,40,1,7.333333333333333,11700
2022,7,29,0,3,40,1,7.333333333333333,11700
2022,7,29,5,3,36,1,5.0,11700
2022,7,29,0,3,36,1,5.9005291005291,12285
2022,7,29,0,3,40,1,8.0,11700
2022,7,30,0,3,36,1,6.5,11250
2022,7,30,0,3,36,1,6.0,11250
2022,7,30,0,3,36,1,6.0,12285
2022,6,24,0,9,36,1,5.256186905105278,17335
2022,7,28,0,9,40,1,5.239985909822867,19872
2022,7,29,0,9,36,1,4.854272528087269,21451
2022,8,35,0,9,36,1,5.1506547753443215,17716
2022,9,36,0,9,40,1,3.747383444338725,2102
2022,9,36,0,9,40,1,5.037656033287101,14420
2022,9,38,0,9,36,1,4.340515676068272,16522
2022,9,38,0,9,36,1,4.504346353578686,17716
2022,9,39,5,9,36,1,5.109202665441177,17408
2022,9,39,5,9,36,1,5.109202665441177,17408
2022,9,39,4,9,12,1,5.599989149305555,18432
2022,9,39,0,9,36,1,5.10493339354256,17716
2022,10,40,0,9,36,1,4.497347030932491,17716
2022,10,40,0,9,36,1,5.164931606343058,16522
2022,10,41,0,9,36,1,4.386994806954165,17716
2022,10,42,0,9,40,1,4.433180002421015,16522
2022,10,42,0,9,40,1,4.400428990742832,17716
2022,10,42,3,9,40,1,4.21766121880147,15786
2022,10,42,3,9,4,1,4.217746182201158,3798
2022,11,47,5,9,35,1,5.668382352941176,19040
2022,7,28,0,9,40,1,5.239985909822867,19872
2022,9,39,5,14,36,1,6.964269301470588,17408
2022,9,39,0,14,36,1,5.249259259259259,18900
2022,9,39,0,14,36,1,4.812531618125316,13837
2022,9,39,0,14,36,1,5.303386243386243,18900
2022,9,39,0,14,36,1,5.303386243386243,18900
2022,10,40,3,14,16,1,5.623293515358362,4688
2022,10,40,3,14,31,1,5.63951367781155,4935
2022,10,40,5,14,36,1,4.329963235294118,17408
2022,10,40,3,14,36,1,5.706335403726708,12075
2022,10,40,3,14,36,1,5.742028985507246,12075
2022,10,40,0,14,36,1,5.244074074074074,18900
2022,10,40,0,14,36,1,5.214550264550264,18900
2022,10,40,0,14,36,1,5.214550264550264,18900
2022,10,40,0,14,36,1,5.214550264550264,18900
2022,10,40,3,14,36,1,8.688024564994882,9770
2022,10,40,3,14,36,1,5.685104166666667,9600
2022,10,40,3,14,16,1,5.424545760430687,11888
2022,10,40,3,14,31,1,5.414634146341464,82
2022,10,40,3,14,36,1,8.81203007518797,2394
2022,10,40,3,14,36,1,6.619572829131653,5712
2022,10,41,3,14,36,1,5.381946169772257,12075
2022,10,41,0,14,36,1,4.317193033171931,13837
2022,10,41,3,14,36,1,7.974368932038835,7725
2022,10,41,3,14,36,1,6.495448179271708,5712
2022,10,41,3,14,36,1,5.631392193696514,9582
2022,10,41,3,14,36,1,8.66750208855472,2394
2022,10,42,3,14,36,1,5.410931677018634,12075
